Error for realdata\NewFuelCar.csv : 0.9092621967488312  Time : 2:08:24.932291 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\NewFuelCar.csv : 0.9148277807897301  Time : 0:49:40.283540 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\NewFuelCar.csv : 0.7476493477487962  Time : 0:29:08.580844 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\NewFuelCar.csv : 0.8856646290868673  Time : 0:29:05.976086 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\NewFuelCar.csv : 0.9003856494041559  Time : 0:56:35.619472 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\NewFuelCar.csv : 0.8890166863714855  Time : 0:56:35.631445 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\NewFuelCar.csv : 0.7486002876021647  Time : 1:03:57.992024 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\NewFuelCar.csv : 0.8701157854247852  Time : 1:06:12.736465 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\fishcatch.csv : 0.9164937680617078  Time : 0:00:08.067473 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\fishcatch.csv : 0.8974870399679551  Time : 0:00:07.921774 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\fishcatch.csv : 0.9164937680617078  Time : 0:00:10.426988 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\fishcatch.csv : 0.8968648221235493  Time : 0:00:11.071700 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\fishcatch.csv : 0.9255428410267544  Time : 0:00:10.839355 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\fishcatch.csv : 0.9164937680617078  Time : 0:00:13.855004 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\fishcatch.csv : 0.9164937680617078  Time : 0:00:08.192887 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
